666491313,APPROVED
666339759,APPROVED
666023679,APPROVED
666034431,APPROVED
666517848,APPROVED
666223017,APPROVED
666296928,APPROVED
666543075,APPROVED
666557862,APPROVED
666231429,APPROVED
666434082,APPROVED
666022191,APPROVED
666625095,APPROVED
666516747,APPROVED
666380325,APPROVED
666450918,APPROVED
666101451,APPROVED
666617808,APPROVED
666549921,APPROVED
666170490,APPROVED
666455910,APPROVED
666127971,APPROVED
666177015,APPROVED
666172746,APPROVED
666098004,APPROVED
666385074,APPROVED
666049953,APPROVED
666246639,APPROVED
666390426,APPROVED
666633717,APPROVED
666557139,APPROVED
666181020,APPROVED
666328851,APPROVED
666121452,APPROVED
666368106,APPROVED
666685263,APPROVED
666463773,APPROVED
666528003,APPROVED
666564219,APPROVED
666048732,APPROVED
666067821,APPROVED
666377376,APPROVED
666559236,APPROVED
666141780,APPROVED
666139716,APPROVED
666669978,APPROVED
666362553,APPROVED
666149013,APPROVED
666244935,APPROVED
666437631,APPROVED
666207840,APPROVED
666477828,APPROVED
666663129,APPROVED
666038043,APPROVED
666228291,APPROVED
666243996,APPROVED
666649542,APPROVED
666640686,APPROVED
666597129,APPROVED
666312048,APPROVED
666429048,APPROVED
666152475,APPROVED
666077253,APPROVED
666229281,APPROVED
666362238,APPROVED
666102408,APPROVED
666695859,APPROVED
666166038,APPROVED
666233724,DECLINED
666637041,APPROVED
666098121,APPROVED
666018288,APPROVED
666190230,DECLINED
666215550,APPROVED
666598395,APPROVED
666097803,APPROVED
666520296,APPROVED
666378348,APPROVED
666094359,APPROVED
666563091,APPROVED
666635454,APPROVED
666628383,APPROVED
666351063,APPROVED
666200241,APPROVED
666529104,APPROVED
666436386,APPROVED
666288039,APPROVED
666223707,APPROVED
666090921,APPROVED
666517125,APPROVED
666600504,APPROVED
666260304,APPROVED
666668148,APPROVED
666394014,APPROVED
666554643,APPROVED
666553494,APPROVED
666324804,APPROVED
666255411,APPROVED
666060414,APPROVED
666302130,APPROVED
666588846,APPROVED
666102276,APPROVED
666386028,APPROVED
666311493,APPROVED
666556791,APPROVED
666059760,APPROVED
666279960,APPROVED
666359223,APPROVED
666356268,APPROVED
666525723,APPROVED
666164094,APPROVED
666097854,APPROVED
666069261,APPROVED
666112383,APPROVED
666718272,APPROVED
666469407,APPROVED
666250680,APPROVED
666631638,APPROVED
666401025,APPROVED
666394947,APPROVED
666666435,APPROVED
666616119,APPROVED
666426816,APPROVED
666171492,APPROVED
666302724,APPROVED
666385626,APPROVED
666336138,APPROVED
666344523,APPROVED
666018492,APPROVED
666042900,APPROVED
666515925,APPROVED
666525993,APPROVED
666154776,APPROVED
666299082,APPROVED
666039432,APPROVED
666608124,APPROVED
666683571,APPROVED
666665391,APPROVED
666674547,APPROVED
666600840,APPROVED
666676401,APPROVED
666536040,APPROVED
666158121,APPROVED
666105015,APPROVED
666450996,APPROVED
666103575,APPROVED
666721677,APPROVED
666708504,APPROVED
